year,INC,Open,Dcont,Rcont,Ocont,Midterm.,PVI..0.to.100.,PVI...100.to.100.,PresYrsIncumb,PresParty,Pres_Incumbent_SameParty,PrevElectionR.,PrevElectionD.,PrevElectionIncumbParty.,PrevElection2R.,PrevElection2D.,PrevElection2IncumbParty.,PrevPresR.,PrevPresD.,PrevPresImcumb.,PrevPresParty,PrevPresSameAsInc.,YearsIncumbPartyControl,TermsDemControl,TermsRepControl,Age.25.to.44,Age.65.and.over,Race.White,Race.Black.or.African.American,Race.American.Indian.and.Alaska.Native,Race.Asian,Race.Native.Hawaiian.and.Other.Pacific.Islander,Race.Some.other.race,Race.Two.or.more.races,Race.Hispanic.or.Latino,Unemployment.Rate,Delta.unemployment.Rate,Median.household.income,PercentDelta.median.household.income,Percent.below.poverty.level,INC_DW_NOM,IncWin,midtermEffect,ideologyEffect,IncCont,NincCont,IncContDiff,dContDiff,logIncCont,Repub,PVIeffect,logNincCont,IncPct2,SabatoScore,modelData$ID,logIncContPred,logNincContPred,IncCalc,IncDiff50,IncDiff50_2,NincCalc,NincDiff50,NincDiff50_2,dContDiff,rContDiff,ID,dPct2,rPct2,dWin
2006,D,0,2617047.89,63161,12632,1,37,-26,6,R,0,0.233314545,0.713615703,0.713615703,0.264094301,0.704722674,0.704722674,38,61,61,D,1,13,13,0,44,10.9,52.6,13.6,1.2,15.5,0.8,9.8,6.5,19.9,7.454081714,1.545918286,40402,0.088089699,17.4,-0.435,1,-1,11.31,2617047.89,63161,3.72409973,2553886.89,14.77755786,-1,26,11.05345813,0.750635735,5,2006CA5,0.015719498,0.009576868,-15.94425858,-2617047.89,-2617048.89,-26.17094943,-63161,-63161,-2617048.89,-63161,CA5,0.750635735,0.249364265,1
2006,D,0,2162621.76,18102,0,1,38.5,-23,6,R,0,0.273509868,0.726490132,0.726490132,0.296101888,0.666863903,0.666863903,28,70,70,D,1,13,13,0,39.9,13,82.6,2.1,0.9,3.8,0.2,6.6,3.9,14.4,4.070497161,1.029502839,58848,0.143981104,7.6,-0.556,1,-1,12.788,2162621.76,18102,4.782999334,2144519.76,14.58683228,-1,23,9.803832949,0.728914141,5,2006CA6,0.0050683,-0.008457907,-45.16586445,-2162621.76,-2162622.76,2.71E+01,1.02796E+16,1.00E+08,-2162622.76,100000000,CA6,0.728914141,0.271085859,1
2006,D,0,1853047.23,371248.48,32091.98,1,30.5,-39,6,R,0,0.115061615,0.829495971,0.829495971,0.125049083,0.795831489,0.795831489,14,85,85,D,1,13,13,0,50.3,13,49.5,9.1,0.5,28.4,0.6,7.6,4.4,16.1,4.8688587,1.2311413,52198,0.182899728,12.3,-0.492,1,-1,19.188,1853047.23,371248.48,1.607712965,1481798.75,14.43234253,-1,39,12.82462957,0.882307487,5,2006CA8,0.004937726,0.030616167,-77.4258247,-1853047.23,-1853048.23,-12.48711135,-371248.0785,-371248.48,-1853048.23,-371248.48,CA8,0.882307487,0.117692513,1
2006,D,0,1054313.37,38771.55,0,1,30.5,-39,6,R,0,0.122640067,0.845478535,0.845478535,0.151770041,0.814135169,0.814135169,13,86,86,D,1,13,13,0,45.8,10.8,41.3,26.2,0.6,17.4,0.4,8.9,5.2,17.3,7.121888288,1.578111712,43718,0.170478979,17.5,-0.685,1,-1,26.715,1054313.37,38771.55,3.302933426,1015541.82,13.86840123,-1,39,10.5654678,0.889454398,5,2006CA9,0.010529007,0.011424319,-36.98871186,-1054313.37,-1054314.37,-34.08994435,-38771.55,-38771.55,-1054314.37,-38771.55,CA9,0.889454398,0.110545602,1
2006,D,0,830583.69,5372,0,1,41.5,-17,6,R,0,0.342859917,0.657140083,0.657140083,0,0.755934616,0.755934616,40,59,59,D,1,5,5,0,52.5,11,77.2,3.7,0.5,9.3,0.3,4.6,4.4,12.1,3.480039267,2.619960733,76832,-0.032460433,4.5,-0.308,1,-1,5.236,830583.69,5372,5.040743487,825211.69,13.62988518,-1,17,8.589141691,0.664501747,5,2006CA10,0.00157035,0.013265386,-104.754848,-830583.69,-830584.69,-12.40082635,-5372,-5372,-830584.69,-5372,CA10,0.664501747,0.335498253,1
2006,R,0,2968676.96,5203829.18,0,1,52,4,6,R,1,0.612279119,0.387720881,0.612279119,0.603146773,0.396853227,0.603146773,54,45,54,R,1,7,0,7,43.8,10.6,60.4,6.6,1.1,11,0.4,14.5,6,27.8,9.668794317,-3.268794317,42945,0.746606124,16.4,0.461,0,1,1.844,5203829.18,2968676.96,0.561278205,-2235152.22,15.46490549,1,4,14.90362728,0.467342823,-1,2006CA11,0.006863815,0.025597343,4.757875586,601032875.7,100000000,1.275803392,7663872.72,7663872.72,7663872.72,100000000,CA11,0.532657177,0.467342823,1
2006,D,0,706335.84,0,0,1,36.5,-27,6,R,0,0.208207475,0.680335235,0.680335235,0.247644918,0.6813413,0.6813413,27,72,72,D,1,7,7,0,43.4,13.8,52.9,2.7,0.4,30.9,1,6.8,5.2,15.9,3.249781889,1.450218111,68182,0.159176909,5.8,-0.376,1,-1,10.152,706335.84,0,13.46784751,706335.84,13.46784751,-1,27,0,0.760459402,5,2006CA12,0.023153971,-0.004698159,-11.24901659,-706327.6434,-706336.84,5.54E+01,1.19311E+24,1.00E+08,-706336.84,100000000,CA12,0.760459402,0.239540598,1
2006,D,0,645577.57,24063.49,0,1,37.5,-25,6,R,0,0.239890848,0.716146414,0.716146414,0.22064092,0.71072309,0.71072309,28,71,71,D,1,13,13,0,44.7,9.9,44.5,7.4,0.6,30.1,0.9,10.3,6.2,22.1,5.095303315,1.104696685,64476,0.100331906,6.9,-0.631,1,-1,15.775,645577.57,24063.49,3.289409613,621514.08,13.3779022,-1,25,10.08849259,0.748872526,5,2006CA13,0.001064464,0.017173649,-233.8008852,-645577.57,-645578.57,-14.49153407,-24063.49,-24063.49,-645578.57,-24063.49,CA13,0.748872526,0.251127474,1
2006,D,0,1069190.57,0,6809,1,38,-24,6,R,0,0.265625,0.697672287,0.697672287,0.281608593,0.681828772,0.681828772,30,68,68,D,1,7,7,0,46.9,11.7,64.9,3.2,0.4,18.9,0.8,8.1,3.8,17.2,3.44972299,1.35027701,80000,0.0881875,6.2,-0.382,1,-1,9.168,1069190.57,0,13.88241338,1069190.57,13.88241338,-1,24,0,0.74585469,5,2006CA14,0.006158989,-0.001933888,-39.91802525,-1069190.57,-1069191.57,1.27E+02,1.62833E+55,1.00E+08,-1069191.57,100000000,CA14,0.74585469,0.25414531,1
2006,D,0,763245.86,46274.94,0,1,38.5,-23,6,R,0,0.279712417,0.720287583,0.720287583,0.310106599,0.657650614,0.657650614,36,63,63,D,1,3,3,0,46.8,10.7,69.5,2.1,0.5,17.6,0.3,5.4,4.6,13.3,3.323968918,2.376031082,77298,0.061929157,5.6,-0.529,1,-1,12.167,763245.86,46274.94,2.802959346,716970.92,13.5453368,-1,23,10.74237745,0.723349904,5,2006CA15,0.001145183,0.003930653,-195.0343203,-763245.86,-763246.86,-56.82260123,-46274.94,-46274.94,-763246.86,-46274.94,CA15,0.723349904,0.276650096,1
